"Treatment","HostRichness","B.outcome","P.outcome","R.outcome","G.outcome","T.outcome","Alaria","Cephalogonimus","Ribeiroia"
"BBBB",1,4,0,0,0,0,0,1,16
"BBBB",1,4,0,0,0,0,0,15,56
"BBBB",1,4,0,0,0,0,19,18,32
"BBBB",1,4,0,0,0,0,5,17,30
"BBBB",1,4,0,0,0,0,2,32,14
"BBBB",1,4,0,0,0,0,5,31,22
"GGGG",1,0,0,0,4,0,0,5,38
"GGGG",1,0,0,0,4,0,0,0,42
"GGGG",1,0,0,0,4,0,0,2,67
"GGGG",1,0,0,0,4,0,1,3,76
"GGGG",1,0,0,0,4,0,0,1,50
"GGGG",1,0,0,0,4,0,0,1,54
"GGGG",1,0,0,0,4,0,0,3,41
"PPPP",1,0,4,0,0,0,7,15,38
"PPPP",1,0,4,0,0,0,27,44,34
"PPPP",1,0,4,0,0,0,38,99,15
"PPPP",1,0,4,0,0,0,20,42,29
"PPPP",1,0,4,0,0,0,19,54,41
"RRRR",1,0,0,4,0,0,0,0,0
"RRRR",1,0,0,4,0,0,1,0,0
"RRRR",1,0,0,4,0,0,1,0,4
"RRRR",1,0,0,4,0,0,2,0,0
"RRRR",1,0,0,4,0,0,0,0,3
"RRRR",1,0,0,4,0,0,0,0,0
"TTTT",1,0,0,0,0,4,0,0,39
"TTTT",1,0,0,0,0,4,0,1,74
"TTTT",1,0,0,0,0,4,0,0,72
"TTTT",1,0,0,0,0,4,1,0,61
"TTTT",1,0,0,0,0,4,0,0,51
"TTTT",1,0,0,0,0,4,0,1,74
"TTTT",1,0,0,0,0,4,0,0,73
"GGPP",2,0,2,0,2,0,6,8,57
"GGPP",2,0,2,0,2,0,27,19,28
"GGPP",2,0,2,0,2,0,8,31,51
"GGPP",2,0,2,0,2,0,4,4,42
"GGPP",2,0,2,0,2,0,27,22,49
"PPBB",2,2,2,0,0,0,9,17,27
"PPBB",2,2,2,0,0,0,18,24,48
"PPBB",2,2,2,0,0,0,7,24,23
"PPBB",2,2,2,0,0,0,43,38,14
"PPBB",2,2,2,0,0,0,21,22,11
"PPBB",2,2,2,0,0,0,0,35,20
"PPBB",2,2,2,0,0,0,4,33,15
"PPBB",2,2,2,0,0,0,9,22,16
"PPRR",2,0,2,2,0,0,6,7,8
"PPRR",2,0,2,2,0,0,3,2,5
"PPRR",2,0,2,2,0,0,0,0,1
"PPRR",2,0,2,2,0,0,0,2,2
"PPRR",2,0,2,2,0,0,0,0,4
"PPTT",2,0,2,0,0,2,14,24,65
"PPTT",2,0,2,0,0,2,37,50,51
"PPTT",2,0,2,0,0,2,32,32,61
"PPTT",2,0,2,0,0,2,1,14,45
"PPTT",2,0,2,0,0,2,12,20,71
"RRBB",2,2,0,2,0,0,0,2,7
"RRBB",2,2,0,2,0,0,1,3,4
"RRBB",2,2,0,2,0,0,0,0,2
"RRBB",2,2,0,2,0,0,0,0,2
"RRBB",2,2,0,2,0,0,0,0,1
"PGBR",4,1,1,1,1,0,2,3,34
"PGBR",4,1,1,1,1,0,2,4,11
"PGBR",4,1,1,1,1,0,1,3,17
"PGBR",4,1,1,1,1,0,2,1,46
"PGBR",4,1,1,1,1,0,0,1,15
"PTBG",4,1,1,0,1,1,6,24,60
"PTBG",4,1,1,0,1,1,0,19,40
"PTBG",4,1,1,0,1,1,0,6,28
"PTBG",4,1,1,0,1,1,0,1,16
"PTBG",4,1,1,0,1,1,0,11,75
"PTBG",4,1,1,0,1,1,1,1,25
"PTBR",4,1,1,1,0,1,1,6,32
"PTBR",4,1,1,1,0,1,2,5,24
"PTBR",4,1,1,1,0,1,3,3,27
"PTBR",4,1,1,1,0,1,2,3,24
"PTBR",4,1,1,1,0,1,6,6,18
"PTGR",4,0,1,1,1,1,0,2,14
"PTGR",4,0,1,1,1,1,0,4,12
"PTGR",4,0,1,1,1,1,3,2,29
"PTGR",4,0,1,1,1,1,0,6,52
