Culture,SampleID,DateCollected,IsolateID,Host,Transect,Plot,GCEquadrantID,MarkedPlantID,SeqData,sim90,sim95,sim97,sim99,Phylo_species,FungusGenus,FungusSpecies,EstTaxPlacement,BLAST_FungusGenus,FungusFamily,FungusOrder,FungusClass,FungusSubphylum,FungusPhylum
0,G1,3/19/2015,1,SP,T1,1A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G10,3/19/2015,10,BD,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G100,3/30/2015,100_30,AB,T6,6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G100,3/30/2015,100_60,AB,T6,6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G101,3/30/2015,101_30,PA,T2,2A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G101,3/30/2015,101_60,PA,T2,2A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G102,3/30/2015,102,PA,T7,7A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G103,4/6/2015,103,PA,T10,10A,NA,NA,1,L,L,L,L,L,Pyrenophora,cf. dactylidis,Pyrenophora_cf. dactylidis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G104,3/30/2015,104_30,EG,T5,5D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G104,3/30/2015,104_60,EG,T5,5D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G105,3/30/2015,105_30,EG,T5,5A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G105,3/30/2015,105_60,EG,T5,5A,NA,NA,1,A2,E,E,E,E,Pyrenophora,tritici-repentis,Pyrenophora_tritici-repentis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G106,4/6/2015,106,PA,T10,10A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G107,3/30/2015,107A,EG,T6,6E,NA,NA,1,A2,E,E,E,E,Pyrenophora,tritici-repentis,Pyrenophora_tritici-repentis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G108,4/6/2015,108,BD,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G109,4/6/2015,109,BD,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G11,3/19/2015,11,AB,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G110,4/6/2015,110,BD,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G111,4/6/2015,111,BD,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G112,4/6/2015,112,BH,T9,9E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G113,4/6/2015,113,AB,T9,9E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G114,4/6/2015,114,EG,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G115,4/6/2015,115,EG,T9,9D,NA,NA,1,A2,E,E,E,E,Pyrenophora,tritici-repentis,Pyrenophora_tritici-repentis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G116,4/6/2015,116,SP,T9,9D,NA,NA,1,J,J,J,J,J,Pyrenophora,nobleae,Pyrenophora_nobleae,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G117,4/6/2015,117,PA,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G118,4/6/2015,118,PA,T9,9D,NA,NA,1,J,J,J,J,J,Pyrenophora,nobleae,Pyrenophora_nobleae,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G119,4/6/2015,119,AB,T6,6A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G12,3/19/2015,12,BH,T9,9D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G120,4/6/2015,120,SP,T6,6C,NA,NA,1,S,S,S,S,S,Neoascochyta,sp.,Neoascochyta_sp.,Didymella,Didymellaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G121,4/6/2015,121,BH,T6,6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G122,4/6/2015,122,EG,T6,6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G123,4/6/2015,123,BD,T6,6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G124,4/6/2015,124,BD,T7,7C,NA,NA,1,C,C,C,C,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G125,4/6/2015,125,AB,T7,7C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G126,4/6/2015,126,PA,T7,7D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G127,4/6/2015,127,EG,T7,7E,NA,NA,1,A2,E,E,E,E,Pyrenophora,tritici-repentis,Pyrenophora_tritici-repentis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G128,4/6/2015,128,BH,T7,7C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G129,4/6/2015,129,SP,T7,7E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G13,3/19/2015,13,SP,T10,10E,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G130,4/6/2015,130,EG,T5,5B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
